
-----------------------------------------------------------------

Namespace(epochs=100, num_users=100, frac=0.05, minibatch=0, lr=0.1, lr_decay=0.995, momentum=0.5, dataset='mnist', iid='false', num_classes=10, gpu=0, dp_mechanism='Laplace', dp_epsilon=100.0, dp_epsilon_global=0, dp_clip=200.0, runs=10)

 48,67.58
 49,67.81
 50,68.01
 51,69.65
 52,69.31
 53,69.76
 54,71.35
 55,70.46
 56,72.18
 57,72.20
 58,72.10
 59,72.12
 60,70.93
 61,71.03
 62,71.96
 63,72.36
 64,71.95
 65,71.60
 66,72.87
 67,73.76
 68,73.24
 69,74.22
 70,74.24
 71,74.75
 72,75.57
 73,75.72
 74,75.33
 75,76.44
 76,76.64
 77,75.34
 78,75.76
 79,75.98
 80,75.87
 81,75.36
 82,75.56
 83,75.98
 84,75.85
 85,76.20
 86,76.19
 87,76.81
 88,76.26
 89,76.29
 90,77.04
 91,76.98
 92,76.94
 93,77.13
 94,77.70
 95,77.91
 96,78.26
 97,78.38
 98,78.31
 99,78.24
Run 8 Of 10 Complete
  0,19.04
  1,24.76
  2,27.56
  3,27.88
  4,29.83
  5,29.94
  6,30.21
  7,32.44
  8,33.62
  9,34.87
 10,35.81
 11,36.33
 12,37.80
 13,39.18
 14,40.44
 15,42.03
 16,42.26
 17,44.26
 18,45.29
 19,44.49
 20,46.12
 21,46.60
 22,46.78
 23,47.87
 24,49.32
 25,51.24
 26,52.76
 27,52.57
 28,55.00
 29,53.80
 30,52.18
 31,53.75
 32,54.00
 33,55.20
 34,57.66
 35,57.59
 36,59.11
 37,59.10
 38,59.64
 39,60.22
 40,61.07
 41,60.65
 42,61.79
 43,62.41
 44,63.79
 45,64.26
 46,65.25
 47,63.98
 48,64.06
 49,62.91
 50,63.95
 51,65.40
 52,66.51
 53,67.66
 54,69.61
 55,70.45
 56,70.84
 57,70.41
 58,71.10
 59,71.43
 60,72.15
 61,72.07
 62,72.75
 63,72.38
 64,72.80
 65,72.01
 66,72.23
 67,71.75
 68,72.64
 69,72.17
 70,72.67
 71,73.11
 72,71.87
 73,72.05
 74,73.02
 75,72.97
 76,74.22
 77,75.08
 78,74.26
 79,75.17
 80,76.79
 81,76.37
 82,75.90
